"snapshot_date","snapshot_ts_utc","FreightID","FlightName","BlockDate","AirlinePartnerID","AirlineName","FlightClassID","ClassAlias","DepartureCityID","CityFrom","ArrivalCityID","CityTo","Country","PartnerID","BusinessEntity","hard_block","releasedays","first_reserve_utc","HasStopSale","StopSaleIssueDT_UTC","IsOnRequest","Seats_gross","Sold_gross","Empty","Seats_net","Sold_net","BlockRecords","TotalDaysInSale","ResourceCount","last_stamp"
"2026-03-15",2026-03-15 11:31:47.773,14073,KC174,"2026-02-28",97318,Air Astana (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-18 08:46:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b-R��
"2026-03-15",2026-03-15 11:31:47.773,14868,VSV5308,"2026-02-28",157575,SCAT (),2,Y,293967,Phu Quoc,700473,Kostanay,Kazakhstan,151696,KZ,1,\N,"2025-05-29 04:13:00.0000000 +00:00",0,\N,0,50,50,0,50,50,1,290,1,\u0000\u0000\u0000\u000b\u0002���
"2026-03-15",2026-03-15 11:31:47.773,15185,VSV5331,"2026-02-28",157575,SCAT (),2,Y,293967,Phu Quoc,700445,Shymkent,Kazakhstan,151696,KZ,1,\N,"2025-07-09 04:14:00.0000000 +00:00",0,\N,0,50,50,0,50,50,1,249,1,\u0000\u0000\u0000\u000b\rh�O
"2026-03-15",2026-03-15 11:31:47.773,15603,VSV5337,"2026-02-28",157575,SCAT (),2,Y,838396,Cam Ranh,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-09-15 05:13:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,181,1,\u0000\u0000\u0000\u000b\u000fU��
"2026-03-15",2026-03-15 11:31:47.773,12848,VSV5354,"2026-02-27",157575,SCAT (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-28 08:07:00.0000000 +00:00",0,\N,0,91,91,0,87,87,1,230,1,\u0000\u0000\u0000\u000b3��\u000e
"2026-03-15",2026-03-15 11:31:47.773,13508,VSV5321,"2026-02-27",157575,SCAT (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-05 06:24:00.0000000 +00:00",0,\N,0,92,92,0,92,92,1,253,1,\u0000\u0000\u0000\u000b-�SC
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-02-27",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-08-08 04:36:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,219,1,\u0000\u0000\u0000\u000b%˸�
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-02-27",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-18 09:03:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b0\b\u0013�
"2026-03-15",2026-03-15 11:31:47.773,14072,KC173,"2026-02-27",97318,Air Astana (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:36:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b\u001c�i:
"2026-03-15",2026-03-15 11:31:47.773,15184,VSV5330,"2026-02-27",157575,SCAT (),2,Y,700445,Shymkent,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-10-07 08:20:00.0000000 +00:00",1,"2026-02-25 19:00:00.0000000 +00:00",0,50,49,1,50,49,1,159,1,\u0000\u0000\u0000\u000b ]�B
"2026-03-15",2026-03-15 11:31:47.773,15602,VSV5336,"2026-02-27",157575,SCAT (),2,Y,367408,Almaty,838396,Cam Ranh,Vietnam,151696,KZ,1,\N,"2025-09-15 04:54:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,181,1,\u0000\u0000\u0000\u000b,\u0011x�
"2026-03-15",2026-03-15 11:31:47.773,10670,VSV5208,"2026-02-26",157575,SCAT (),2,Y,838396,Cam Ranh,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-28 10:05:00.0000000 +00:00",0,\N,0,64,64,0,64,64,1,230,1,\u0000\u0000\u0000\u000b(]\u0012'
"2026-03-15",2026-03-15 11:31:47.773,13556,VSV5338,"2026-02-26",157575,SCAT (),2,Y,378598,Astana,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-04 03:49:00.0000000 +00:00",0,\N,0,91,91,0,86,86,1,254,1,\u0000\u0000\u0000\u000b,�I�
"2026-03-15",2026-03-15 11:31:47.773,13557,VSV5339,"2026-02-26",157575,SCAT (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-04 03:58:00.0000000 +00:00",1,"2026-02-24 19:00:00.0000000 +00:00",0,91,90,1,83,82,1,254,1,\u0000\u0000\u0000\u000b%���
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-02-26",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:59:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b\t�\u0007i
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-02-26",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-07-18 09:03:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b%f8�
"2026-03-15",2026-03-15 11:31:47.773,10669,VSV5207,"2026-02-25",157575,SCAT (),2,Y,367408,Almaty,838396,Cam Ranh,Vietnam,151696,KZ,1,\N,"2025-07-04 05:22:00.0000000 +00:00",0,\N,0,64,64,0,64,64,2,254,1,\u0000\u0000\u0000\u000b0\u0013Y�
"2026-03-15",2026-03-15 11:31:47.773,13507,VSV5320,"2026-02-25",157575,SCAT (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-08-12 05:56:00.0000000 +00:00",0,\N,0,92,92,0,92,92,1,215,1,\u0000\u0000\u0000\u000b\"\u000b�>
"2026-03-15",2026-03-15 11:31:47.773,13508,VSV5321,"2026-02-25",157575,SCAT (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-06-12 10:46:00.0000000 +00:00",0,\N,0,92,92,0,92,92,1,276,1,\u0000\u0000\u0000\u000b06:\u0007
"2026-03-15",2026-03-15 11:31:47.773,13586,KC161,"2026-02-25",97318,Air Astana (),2,Y,367408,Almaty,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-18 08:59:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b0G\u0003�
"2026-03-15",2026-03-15 11:31:47.773,13587,KC162,"2026-02-25",97318,Air Astana (),2,Y,293967,Phu Quoc,367408,Almaty,Kazakhstan,151696,KZ,1,\N,"2025-08-08 04:54:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,219,1,\u0000\u0000\u0000\u000b\/\r<m
"2026-03-15",2026-03-15 11:31:47.773,13898,HH2233,"2026-02-25",195161,Qanot Sharq,2,Y,708693,Tashkent,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-07-14 09:30:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,244,1,\u0000\u0000\u0000\u000b0\u0007TK
"2026-03-15",2026-03-15 11:31:47.773,13899,HH2234,"2026-02-25",195161,Qanot Sharq,2,Y,293967,Phu Quoc,708693,Tashkent,Uzbekistan,151696,KZ,1,\N,"2025-07-14 09:40:00.0000000 +00:00",0,\N,0,40,40,0,40,40,1,244,1,\u0000\u0000\u0000\u000b\/\u0002\u0017f
"2026-03-15",2026-03-15 11:31:47.773,14073,KC174,"2026-02-25",97318,Air Astana (),2,Y,293967,Phu Quoc,378598,Astana,Kazakhstan,151696,KZ,1,\N,"2025-07-18 08:46:00.0000000 +00:00",1,"2025-12-08 19:00:00.0000000 +00:00",0,40,40,0,40,40,1,240,1,\u0000\u0000\u0000\u000b\u000eO��
"2026-03-15",2026-03-15 11:31:47.773,14865,VSV5313,"2026-02-25",157575,SCAT (),2,Y,700444,Aktobe,293967,Phu Quoc,Vietnam,151696,KZ,1,\N,"2025-05-29 03:26:00.0000000 +00:00",1,"2026-02-23 19:00:00.0000000 +00:00",0,50,49,1,50,49,1,290,1,\u0000\u0000\u0000\u000b0\u001d)�
